case_index,case_id,candidate_index,sample_index,case_kind,task_index,k,ratio,source_csv,worst_active_rl_db,total_rl_db,reflected_power_fraction,complete,complex_nmse,magnitude_rmse_db_visible40,complex_correlation,no_scale_pass
49,c011_t3,11,66,task,3,6,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c011_t3.csv,10.196372163934877,11.405569389876772,0.07235075392570671,1,4.7862664352693596e-12,2.677643897186499e-05,0.9999998807907104,1
50,c011_t4,11,66,task,4,6,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c011_t4.csv,10.082189228096329,10.573057795551362,0.08763835567122,1,3.9980839819375724e-12,2.221542308689095e-05,0.9999996423721313,1
51,c011_t5,11,66,task,5,6,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c011_t5.csv,10.088588226968142,11.811388315089768,0.06589632099035987,1,5.384916037382004e-12,2.526663229218684e-05,1.0,1
52,c012_combined,12,48,combined,-1,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c012_combined.csv,10.435715490168537,12.360737754589845,0.05806657689677948,1,2.7542605782887586e-12,2.5225373974535614e-05,0.9999997019767761,1
53,c012_t0,12,48,task,0,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c012_t0.csv,10.032839859396965,11.07414930035857,0.07808813848527582,1,3.5199174304445524e-12,2.214724190707784e-05,0.9999995827674866,1
54,c012_t1,12,48,task,1,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c012_t1.csv,10.07596303230368,12.309941426922302,0.05874972760224706,1,4.8454413224818804e-12,2.329296330572106e-05,1.0,1
55,c012_t2,12,48,task,2,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c012_t2.csv,10.060701101136365,11.121719652152544,0.07723746915478587,1,3.888481984321013e-12,2.2934427761356346e-05,0.9999998807907104,1
56,c012_t3,12,48,task,3,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c012_t3.csv,10.11556362922811,11.254015925916146,0.07492011018290515,1,3.754359236690652e-12,2.227114418928977e-05,0.9999995827674866,1
57,c013_combined,13,49,combined,-1,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c013_combined.csv,10.07571013687092,13.74741982780659,0.04219471105420263,1,4.816124062057003e-12,2.966320789710153e-05,1.0,1
58,c013_t0,13,49,task,0,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c013_t0.csv,10.07237379516509,12.473502046912774,0.056578287125469605,1,5.1148508171949825e-12,3.070691309403628e-05,1.0,1
59,c013_t1,13,49,task,1,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c013_t1.csv,10.088610890110736,12.15342673982544,0.06090561403746834,1,5.403822788546675e-12,2.527961987652816e-05,0.999999463558197,1
60,c013_t2,13,49,task,2,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c013_t2.csv,10.07004707502963,13.454934189617148,0.04513428646683957,1,4.863548799804995e-12,2.836213207046967e-05,1.0000001192092896,1
61,c013_t3,13,49,task,3,4,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c013_t3.csv,10.20665111230587,11.769087291126192,0.0665412984025324,1,5.250564306252814e-12,2.6554849682725035e-05,1.0000001192092896,1
62,c014_combined,14,30,combined,-1,2,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c014_combined.csv,10.044920507995418,12.241384197261755,0.059684502790947454,1,4.011860288422042e-12,2.3921224055811763e-05,0.9999992847442627,1
63,c014_t0,14,30,task,0,2,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c014_t0.csv,10.03525277272029,11.960322691514449,0.06367482071874712,1,4.113648657821933e-12,2.328832124476321e-05,0.999999463558197,1
64,c014_t1,14,30,task,1,2,0.8999999761581421,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c014_t1.csv,10.008860691894437,11.759126645531019,0.06669408757370551,1,4.466231637995088e-12,2.208594378316775e-05,0.9999996423721313,1
