priority,role,candidate_index,sample_index,k,ratio,large_scan,min_target_separation_deg,combined_active_rl_db,task_significant_active_rl_db,psll_db,nearest_iso_db,local_iso_db,target_spread_db,pointing_error_deg,strict_engineering_gate
95.0,sparse_joint_positive,0,0,1,0.5,0,180.0,10.061497197317362,10.061497197317362,-11.679611206054688,300.0,300.0,0.0,0.14562266994235282,1
95.0,sparse_joint_positive,1,1,1,0.5,1,180.0,10.078393326118906,10.078393326118906,-7.4051971435546875,300.0,300.0,0.0,0.8980526058080087,1
93.99999976158142,sparse_joint_positive,3,3,1,0.6000000238418579,0,180.0,10.10054500263007,10.10054500263007,-12.876640319824219,300.0,300.0,0.0,0.5496264301824973,1
93.99999976158142,sparse_joint_positive,4,4,1,0.6000000238418579,1,180.0,10.089262467787004,10.089262467787004,-7.5146484375,300.0,300.0,0.0,1.0252361621203891,1
93.00000011920929,sparse_joint_positive,6,6,1,0.699999988079071,0,180.0,10.074475662118909,10.074475662118909,-14.683189392089844,300.0,300.0,0.0,0.20697620061100674,1
93.00000011920929,sparse_joint_positive,7,7,1,0.699999988079071,1,180.0,10.157066477780308,10.157066477780308,-6.491523742675781,300.0,300.0,0.0,1.3845858306192576,1
91.99999988079071,sparse_joint_positive,9,9,1,0.800000011920929,0,180.0,10.007942460199537,10.007942460199537,-15.440147399902344,300.0,300.0,0.0,0.07042196553748933,1
91.00000023841858,sparse_joint_positive,49,49,4,0.8999999761581421,1,30.004592895507812,10.267382744901326,10.030436509289931,-6.010063171386719,26.141742706298828,21.520477294921875,1.9349441528320312,1.3188517201753525,1
50.0,ratio1_control_positive,15,15,1,1.0,0,180.0,10.298470276635914,10.298470276635914,-16.07929229736328,300.0,300.0,0.0,0.49065293878195976,1
50.0,ratio1_control_positive,16,16,1,1.0,1,180.0,11.152163669248178,11.152163669248178,-6.832008361816406,300.0,300.0,0.0,0.9547866084431431,1
