case_id,primary_arm_length_mm,secondary_arm_length_mm,secondary_arm_offset_y_mm,frozen_transformer_width_mm,frozen_transformer_length_mm,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,frequency_ghz,s11_real,s11_imag,s11_magnitude,s11_phase_deg,input_resistance_ohm,input_reactance_ohm,passive_rl_db,topology_warning_count,screen_gate_pass
load_d4_split_far,6.5,4.7,1.8,1.05,2.4,2,0.0063173,True,44,2.847393035888672,70011,10.0,0.424841865020735,0.2283357503740378,0.482315068366282,28.2562767445951,100.19375994855278,59.626392801672296,6.333383394939838,0,False
load_d3_split_close,5.5,6.0,0.8,1.05,2.4,2,0.00400166,True,38,2.5373764038085938,62263,10.0,0.4527776735086748,0.29859484556182986,0.542371186019336,33.403790341652204,90.81487818087014,76.83640591351374,5.314067816639944,0,False
load_d0_center,6.0,5.2,1.2,1.05,2.4,2,0.00466616,True,44,2.7672805786132812,67207,10.0,0.4254998718106469,0.33999965467126303,0.544655768433104,38.626930501118395,78.91280573312382,76.29294978593877,5.27755784814161,0,False
load_d5_primary_mid_secondary_long,5.8,5.8,1.0,1.05,2.4,2,0.00405027,True,40,2.8052825927734375,66295,10.0,0.4547558627045889,0.31666491349590004,0.554147599564918,34.8510564332507,87.14493149870907,79.65053615223044,5.127490873700706,0,False
load_d7_primary_short_secondary_mid,4.8,5.2,1.0,1.05,2.4,2,0.00388782,True,40,2.6150856018066406,62394,10.0,0.27466885715556416,0.5090074674697564,0.5783870529594511,61.6479660784876,42.37605790616502,64.82570582212156,4.755628743426793,0,False
load_d2_both_long,6.8,5.9,1.4,1.05,2.4,5,0.0227638,True,102,4.306621551513672,89381,10.0,0.2690477900894304,0.514028172852593,0.580182450474143,62.3719635083704,41.53881980388076,64.37292568638445,4.728708239984904,0,False
load_d6_both_shorter,4.6,4.0,0.8,1.05,2.4,2,0.00575517,True,32,2.1493492126464844,53121,10.0,-0.09772606971515439,0.577328791757113,0.585541560005521,99.6075461075892,21.3591743399781,37.53004236582904,4.6488454912343,0,False
