candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,k,active_ratio,pattern15_admit,strict_admit,fullwave_complete,prob_gate15,actual_gate15,prob_gate20,actual_gate20,prob_mainlobe_gate,actual_mainlobe_gate,prob_strict_engineering_gate,actual_strict_engineering_gate,pred_psll_db,actual_psll_db,error_psll_db,pred_nearest_iso_db,actual_nearest_iso_db,error_nearest_iso_db,pred_local_iso_db,actual_local_iso_db,error_local_iso_db,pred_mainlobe_gain_db,actual_mainlobe_gain_db,error_mainlobe_gain_db,pred_target_spread_db,actual_target_spread_db,error_target_spread_db,actual_active_rl_gate,actual_worst_active_rl_db,actual_worst_total_rl_db,frozen_threshold_label_match
0,200000,gate15_psll_200000_fc53533ba9fa20e1,fc53533ba9fa20e1,psll,control,nominal_control,6,0.5234375,1,1,1,0.9882395093867168,1,0.9516752946031765,1,0.9907466426824431,1,0.9899854744718339,1,-4.181055068969727,-4.1820068359375,0.0009517669677734375,25.869853973388672,25.711822509765625,0.15803146362304688,23.141035079956055,23.090469360351562,0.05056571960449219,77.74698638916016,77.74443054199219,0.00255584716796875,0.06661339849233627,0.0941925048828125,-0.027579106390476227,1,10.04493290034427,10.039474120097422,1
1,200000,gate15_psll_200000_fc53533ba9fa20e1,fc53533ba9fa20e1,psll,inside,gate15_psll_inside,6,0.5234375,0,0,1,0.5527591330251113,1,0.48643139477398856,1,0.975030943197453,1,0.00017711341673728765,0,0.6529183387756348,-0.343536376953125,0.9964547157287598,25.798208236694336,25.711822509765625,0.08638572692871094,21.820688247680664,21.68033218383789,0.14035606384277344,77.30825805664062,77.30928039550781,-0.0010223388671875,-0.005761772394180298,0.16622161865234375,-0.17198339104652405,0,-9.188815091718817,9.986260703718916,1
2,200000,gate15_psll_200000_fc53533ba9fa20e1,fc53533ba9fa20e1,psll,outside,gate15_psll_outside,6,0.5234375,0,0,1,0.5355172776935652,0,0.44321568267361533,0,0.9728266594820681,1,7.93167970244851e-05,0,0.9352331161499023,0.07625579833984375,0.8589773178100586,25.796504974365234,25.711822509765625,0.08468246459960938,21.613954544067383,21.557937622070312,0.05601692199707031,77.28535461425781,77.25397491455078,0.03137969970703125,-0.006562158465385437,0.18480682373046875,-0.1913689821958542,0,-8.63707260961302,9.981710359825891,1
3,200001,gate15_psll_200001_3c2a59570537fa9a,3c2a59570537fa9a,psll,control,nominal_control,6,0.72265625,1,1,1,0.9886224777126104,1,0.9601519029833815,1,0.9929586510276901,1,0.9969842105000793,1,-3.9280078411102295,-3.9303436279296875,0.002335786819458008,29.576982498168945,29.46442413330078,0.11255836486816406,22.33237075805664,22.415267944335938,-0.08289718627929688,78.16460418701172,78.1470947265625,0.01750946044921875,1.584521770477295,1.5859527587890625,-0.0014309883117675781,1,10.046024693296665,10.577393094986787,1
4,200001,gate15_psll_200001_3c2a59570537fa9a,3c2a59570537fa9a,psll,inside,gate15_psll_inside,6,0.72265625,0,0,1,0.5540465916284713,1,0.5086831300748584,0,0.978566539721524,1,0.004335421369368983,0,1.7236804962158203,-0.5167007446289062,2.2403812408447266,29.613706588745117,29.464397430419922,0.1493091583251953,21.332685470581055,19.738906860351562,1.5937786102294922,77.78125762939453,77.76801300048828,0.01324462890625,1.6985387802124023,1.6404647827148438,0.058073997497558594,0,-2.0807613078802953,10.584109075352444,1
5,200001,gate15_psll_200001_3c2a59570537fa9a,3c2a59570537fa9a,psll,outside,gate15_psll_outside,6,0.72265625,0,0,1,0.5533624151951849,0,0.4942916394873465,0,0.9720237660561971,1,0.0009841992141936175,0,2.242201805114746,0.36095428466796875,1.8812475204467773,29.55371856689453,29.464385986328125,0.08933258056640625,21.165800094604492,19.416702270507812,1.7490978240966797,77.74028015136719,77.6790771484375,0.0612030029296875,1.7166211605072021,1.646881103515625,0.06974005699157715,0,-6.362506778905469,10.583495526618679,1
6,200002,gate15_psll_200002_a94b27008a765a40,a94b27008a765a40,psll,control,nominal_control,6,0.72265625,1,1,1,0.9887292695566887,1,0.9633489783465506,1,0.992362027179643,1,0.9980108517792485,1,-4.980868339538574,-4.959251403808594,-0.02161693572998047,28.822044372558594,28.64163589477539,0.18040847778320312,22.664663314819336,22.72911834716797,-0.06445503234863281,78.02790069580078,78.01011657714844,0.01778411865234375,1.651480793952942,1.6560134887695312,-0.0045326948165893555,1,10.036601226875586,10.564363250619994,1
7,200002,gate15_psll_200002_a94b27008a765a40,a94b27008a765a40,psll,inside,gate15_psll_inside,6,0.72265625,0,0,1,0.554335509264669,1,0.5159926984157663,1,0.9766606350963695,1,0.006897194803004486,0,1.213259220123291,-0.5485000610351562,1.7617592811584473,28.875173568725586,28.641639709472656,0.2335338592529297,21.98499298095703,22.77361297607422,-0.7886199951171875,77.61473083496094,77.7146987915039,-0.09996795654296875,1.7332810163497925,1.6474380493164062,0.08584296703338623,0,-5.594866596747617,10.722174717343144,1
8,200002,gate15_psll_200002_a94b27008a765a40,a94b27008a765a40,psll,outside,gate15_psll_outside,6,0.72265625,0,0,1,0.5536269788281356,0,0.5006543872013536,0,0.9695005488212016,1,0.0016144057105780942,0,1.7379302978515625,0.2870025634765625,1.450927734375,28.81551170349121,28.64165496826172,0.1738567352294922,21.81412124633789,22.75213623046875,-0.9380149841308594,77.5772705078125,77.64061737060547,-0.06334686279296875,1.7433079481124878,1.6473617553710938,0.09594619274139404,0,-3.11623198027482,10.740053687922579,1
9,200003,gate15_psll_200003_515d629ff1f82f77,515d629ff1f82f77,psll,control,nominal_control,6,0.5234375,1,1,1,0.9881618316361352,1,0.9500111058474732,1,0.989839534845943,1,0.9885617717192043,1,-4.606058597564697,-4.553062438964844,-0.052996158599853516,26.266719818115234,26.261966705322266,0.00475311279296875,23.66313934326172,22.83022689819336,0.8329124450683594,77.82286834716797,77.82234954833984,0.000518798828125,0.12984704971313477,0.1304473876953125,-0.0006003379821777344,1,10.044925887842114,10.055749046491279,1
