sample_index,method,candidate_index,variant_kind,boundary_side_audit_only,prob_gate15,prob_gate20,strict_admit
200000,gate15_probability,0,nominal_control,control,0.9882395093867168,0.9516752946031765,1
200000,gate20_probability,0,nominal_control,control,0.9882395093867168,0.9516752946031765,1
200000,rank,0,nominal_control,control,0.9882395093867168,0.9516752946031765,1
200000,conservative,0,nominal_control,control,0.9882395093867168,0.9516752946031765,1
200001,gate15_probability,3,nominal_control,control,0.9886224777126104,0.9601519029833815,1
200001,gate20_probability,3,nominal_control,control,0.9886224777126104,0.9601519029833815,1
200001,rank,3,nominal_control,control,0.9886224777126104,0.9601519029833815,1
200001,conservative,3,nominal_control,control,0.9886224777126104,0.9601519029833815,1
200002,gate15_probability,6,nominal_control,control,0.9887292695566887,0.9633489783465506,1
200002,gate20_probability,6,nominal_control,control,0.9887292695566887,0.9633489783465506,1
200002,rank,6,nominal_control,control,0.9887292695566887,0.9633489783465506,1
200002,conservative,6,nominal_control,control,0.9887292695566887,0.9633489783465506,1
200003,gate15_probability,9,nominal_control,control,0.9881618316361352,0.9500111058474732,1
200003,gate20_probability,9,nominal_control,control,0.9881618316361352,0.9500111058474732,1
200003,rank,9,nominal_control,control,0.9881618316361352,0.9500111058474732,1
200003,conservative,9,nominal_control,control,0.9881618316361352,0.9500111058474732,1
200004,gate15_probability,12,nominal_control,control,0.9881280733771816,0.9494058488660475,1
200004,gate20_probability,12,nominal_control,control,0.9881280733771816,0.9494058488660475,1
200004,rank,12,nominal_control,control,0.9881280733771816,0.9494058488660475,1
200004,conservative,12,nominal_control,control,0.9881280733771816,0.9494058488660475,1
200005,gate15_probability,15,nominal_control,control,0.9887089675986639,0.9630260919632844,1
200005,gate20_probability,15,nominal_control,control,0.9887089675986639,0.9630260919632844,1
200005,rank,15,nominal_control,control,0.9887089675986639,0.9630260919632844,1
200005,conservative,15,nominal_control,control,0.9887089675986639,0.9630260919632844,1
200006,gate15_probability,18,nominal_control,control,0.9880476886411197,0.9464286107318753,0
200006,gate20_probability,18,nominal_control,control,0.9880476886411197,0.9464286107318753,0
200006,rank,18,nominal_control,control,0.9880476886411197,0.9464286107318753,0
200006,conservative,18,nominal_control,control,0.9880476886411197,0.9464286107318753,0
200007,gate15_probability,21,nominal_control,control,0.9886842940351215,0.9617234985496204,1
200007,gate20_probability,21,nominal_control,control,0.9886842940351215,0.9617234985496204,1
200007,rank,21,nominal_control,control,0.9886842940351215,0.9617234985496204,1
200007,conservative,21,nominal_control,control,0.9886842940351215,0.9617234985496204,1
200008,gate15_probability,24,nominal_control,control,0.9885062550022214,0.9579623071490782,1
200008,gate20_probability,24,nominal_control,control,0.9885062550022214,0.9579623071490782,1
200008,rank,24,nominal_control,control,0.9885062550022214,0.9579623071490782,1
200008,conservative,24,nominal_control,control,0.9885062550022214,0.9579623071490782,1
200009,gate15_probability,27,nominal_control,control,0.9886730282722885,0.9626698461053025,1
200009,gate20_probability,27,nominal_control,control,0.9886730282722885,0.9626698461053025,1
200009,rank,27,nominal_control,control,0.9886730282722885,0.9626698461053025,1
200009,conservative,27,nominal_control,control,0.9886730282722885,0.9626698461053025,1
200010,gate15_probability,30,nominal_control,control,0.9887031789980752,0.9621890463502106,1
200010,gate20_probability,30,nominal_control,control,0.9887031789980752,0.9621890463502106,1
200010,rank,30,nominal_control,control,0.9887031789980752,0.9621890463502106,1
200010,conservative,30,nominal_control,control,0.9887031789980752,0.9621890463502106,1
200011,gate15_probability,33,nominal_control,control,0.9886338252518813,0.9608112884105167,1
200011,gate20_probability,33,nominal_control,control,0.9886338252518813,0.9608112884105167,1
200011,rank,33,nominal_control,control,0.9886338252518813,0.9608112884105167,1
200011,conservative,33,nominal_control,control,0.9886338252518813,0.9608112884105167,1
200012,gate15_probability,36,nominal_control,control,0.9888764697643605,0.9662504391304215,1
200012,gate20_probability,36,nominal_control,control,0.9888764697643605,0.9662504391304215,1
200012,rank,36,nominal_control,control,0.9888764697643605,0.9662504391304215,1
200012,conservative,36,nominal_control,control,0.9888764697643605,0.9662504391304215,1
200013,gate15_probability,39,nominal_control,control,0.9888774818368146,0.9662378187505019,1
200013,gate20_probability,39,nominal_control,control,0.9888774818368146,0.9662378187505019,1
200013,rank,39,nominal_control,control,0.9888774818368146,0.9662378187505019,1
200013,conservative,39,nominal_control,control,0.9888774818368146,0.9662378187505019,1
200014,gate15_probability,42,nominal_control,control,0.9889320679710134,0.9669383006278421,1
200014,gate20_probability,42,nominal_control,control,0.9889320679710134,0.9669383006278421,1
200014,rank,42,nominal_control,control,0.9889320679710134,0.9669383006278421,1
200014,conservative,42,nominal_control,control,0.9889320679710134,0.9669383006278421,1
200015,gate15_probability,45,nominal_control,control,0.9886333371474657,0.9588136771853304,1
200015,gate20_probability,45,nominal_control,control,0.9886333371474657,0.9588136771853304,1
200015,rank,45,nominal_control,control,0.9886333371474657,0.9588136771853304,1
200015,conservative,45,nominal_control,control,0.9886333371474657,0.9588136771853304,1
200016,gate15_probability,48,nominal_control,control,0.9889147067555994,0.966490622240419,1
200016,gate20_probability,48,nominal_control,control,0.9889147067555994,0.966490622240419,1
200016,rank,48,nominal_control,control,0.9889147067555994,0.966490622240419,1
200016,conservative,48,nominal_control,control,0.9889147067555994,0.966490622240419,1
200017,gate15_probability,51,nominal_control,control,0.9886781702321239,0.9614754523934984,1
200017,gate20_probability,51,nominal_control,control,0.9886781702321239,0.9614754523934984,1
200017,rank,51,nominal_control,control,0.9886781702321239,0.9614754523934984,1
200017,conservative,51,nominal_control,control,0.9886781702321239,0.9614754523934984,1
200018,gate15_probability,54,nominal_control,control,0.988556734293073,0.9575328193021048,1
200018,gate20_probability,54,nominal_control,control,0.988556734293073,0.9575328193021048,1
200018,rank,54,nominal_control,control,0.988556734293073,0.9575328193021048,1
200018,conservative,54,nominal_control,control,0.988556734293073,0.9575328193021048,1
200019,gate15_probability,57,nominal_control,control,0.9890331922204845,0.9699175839123071,1
200019,gate20_probability,57,nominal_control,control,0.9890331922204845,0.9699175839123071,1
200019,rank,57,nominal_control,control,0.9890331922204845,0.9699175839123071,1
200019,conservative,57,nominal_control,control,0.9890331922204845,0.9699175839123071,1
