candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,k,active_ratio,pattern15_admit,strict_admit,fullwave_complete,prob_gate15,actual_gate15,prob_gate20,actual_gate20,prob_mainlobe_gate,actual_mainlobe_gate,prob_strict_engineering_gate,actual_strict_engineering_gate,pred_psll_db,actual_psll_db,error_psll_db,pred_nearest_iso_db,actual_nearest_iso_db,error_nearest_iso_db,pred_local_iso_db,actual_local_iso_db,error_local_iso_db,pred_mainlobe_gain_db,actual_mainlobe_gain_db,error_mainlobe_gain_db,pred_target_spread_db,actual_target_spread_db,error_target_spread_db,actual_active_rl_gate,actual_worst_active_rl_db,actual_worst_total_rl_db,frozen_threshold_label_match
1,200000,gate15_psll_200000_fc53533ba9fa20e1,fc53533ba9fa20e1,psll,inside,gate15_psll_inside,6,0.5234375,0,0,1,0.5527591330251113,1,0.48643139477398856,1,0.975030943197453,1,0.00017711341673728765,0,0.6529183387756348,-0.343536376953125,0.9964547157287598,25.798208236694336,25.711822509765625,0.08638572692871094,21.820688247680664,21.68033218383789,0.14035606384277344,77.30825805664062,77.30928039550781,-0.0010223388671875,-0.005761772394180298,0.16622161865234375,-0.17198339104652405,0,-9.188815091718817,9.986260703718916,1
4,200001,gate15_psll_200001_3c2a59570537fa9a,3c2a59570537fa9a,psll,inside,gate15_psll_inside,6,0.72265625,0,0,1,0.5540465916284713,1,0.5086831300748584,0,0.978566539721524,1,0.004335421369368983,0,1.7236804962158203,-0.5167007446289062,2.2403812408447266,29.613706588745117,29.464397430419922,0.1493091583251953,21.332685470581055,19.738906860351562,1.5937786102294922,77.78125762939453,77.76801300048828,0.01324462890625,1.6985387802124023,1.6404647827148438,0.058073997497558594,0,-2.0807613078802953,10.584109075352444,1
7,200002,gate15_psll_200002_a94b27008a765a40,a94b27008a765a40,psll,inside,gate15_psll_inside,6,0.72265625,0,0,1,0.554335509264669,1,0.5159926984157663,1,0.9766606350963695,1,0.006897194803004486,0,1.213259220123291,-0.5485000610351562,1.7617592811584473,28.875173568725586,28.641639709472656,0.2335338592529297,21.98499298095703,22.77361297607422,-0.7886199951171875,77.61473083496094,77.7146987915039,-0.09996795654296875,1.7332810163497925,1.6474380493164062,0.08584296703338623,0,-5.594866596747617,10.722174717343144,1
10,200003,gate15_psll_200003_515d629ff1f82f77,515d629ff1f82f77,psll,inside,gate15_psll_inside,6,0.5234375,0,0,1,0.47697951504597935,1,0.25917224594598426,1,0.958187574640127,1,2.0188251994097464e-05,0,1.092529296875,-0.29167938232421875,1.3842086791992188,26.023012161254883,26.26198959350586,-0.23897743225097656,22.171329498291016,22.342819213867188,-0.17148971557617188,77.30393981933594,77.39457702636719,-0.09063720703125,0.15912960469722748,0.15313720703125,0.005992397665977478,0,-4.267891184702159,10.013849534798101,1
13,200004,gate15_psll_200004_0a88bf3f7caa98a0,0a88bf3f7caa98a0,psll,inside,gate15_psll_inside,6,0.5234375,0,0,1,0.5351110197829801,1,0.3037401955474309,1,0.9551677913819122,1,4.8490163448987944e-05,0,0.6398677825927734,-0.1802978515625,0.8201656341552734,26.718990325927734,27.204116821289062,-0.4851264953613281,22.49042510986328,22.41857147216797,0.0718536376953125,77.42462158203125,77.48330688476562,-0.058685302734375,0.3129052519798279,0.18218231201171875,0.13072293996810913,0,-4.994510081112623,10.001669421299212,1
16,200005,gate15_psll_200005_714250a6b5698bde,714250a6b5698bde,psll,inside,gate15_psll_inside,6,0.72265625,0,0,1,0.5531248160418069,1,0.49112192505654073,1,0.9670060738638199,1,0.0005355382724222078,0,1.1915779113769531,-0.24713897705078125,1.4387168884277344,29.73373794555664,29.56220245361328,0.17153549194335938,22.157543182373047,22.608200073242188,-0.4506568908691406,78.32719421386719,78.3658676147461,-0.03867340087890625,0.628061056137085,0.474517822265625,0.15354323387145996,0,-5.627087114600885,10.375908090511352,1
18,200006,gate15_psll_200006_9fbef23d325f1582,9fbef23d325f1582,psll,control,nominal_control,6,0.5234375,0,0,1,0.9880476886411197,1,0.9464286107318753,1,0.9908158310460988,1,0.9793529218919086,1,-4.80631160736084,-4.842704772949219,0.036393165588378906,25.165632247924805,25.069561004638672,0.09607124328613281,22.936908721923828,22.9090576171875,0.027851104736328125,77.49433898925781,77.49309539794922,0.00124359130859375,0.05940229445695877,0.09146881103515625,-0.03206651657819748,1,10.015703201461864,10.016849357348134,1
19,200006,gate15_psll_200006_9fbef23d325f1582,9fbef23d325f1582,psll,inside,gate15_psll_inside,6,0.5234375,0,0,1,0.5540981587209534,1,0.5094277372236482,1,0.9849158642211334,1,0.0034343742574939108,0,-1.565946340560913,-0.314910888671875,-1.251035451889038,25.121871948242188,25.069549560546875,0.0523223876953125,21.99527359008789,21.89611053466797,0.09916305541992188,77.18956756591797,77.14059448242188,0.04897308349609375,-0.02608571946620941,0.1155548095703125,-0.1416405290365219,0,0.32177765261284874,9.94917532691419,1
25,200008,gate15_nearest_200008_d62d6df92329a353,d62d6df92329a353,nearest,inside,gate15_nearest_inside,4,0.4140625,0,0,1,0.5528524293135704,1,0.4940649775786329,1,0.944715005043282,1,0.0003285983609911994,0,-5.050541877746582,-5.000762939453125,-0.04977893829345703,24.19472312927246,25.303428649902344,-1.1087055206298828,21.444581985473633,22.688720703125,-1.2441387176513672,78.43173217773438,78.44781494140625,-0.016082763671875,0.6797187924385071,0.7546005249023438,-0.07488173246383667,0,8.777193297168894,10.005898034196983,1
28,200009,gate15_nearest_200009_6b10e73879c8a606,6b10e73879c8a606,nearest,inside,gate15_nearest_inside,2,0.4140625,0,0,1,0.5558354426833396,1,0.5481279986885377,1,0.9881664892064816,1,0.07874189248132928,0,-10.797989845275879,-10.752311706542969,-0.045678138732910156,25.244766235351562,25.592193603515625,-0.3474273681640625,22.343294143676758,20.547584533691406,1.7957096099853516,81.50470733642578,81.6032485961914,-0.098541259765625,0.8260525465011597,0.5414657592773438,0.2845867872238159,0,9.671254496575644,10.188920829177059,1
31,200010,gate15_nearest_200010_a47660913737b1fc,a47660913737b1fc,nearest,inside,gate15_nearest_inside,2,0.3984375,0,0,1,0.39760244326952193,1,0.20579174591158844,1,0.9678094198733318,1,0.00011186846597712434,0,-6.633207321166992,-6.708282470703125,0.07507514953613281,20.61699676513672,25.33271026611328,-4.7157135009765625,22.557357788085938,21.230575561523438,1.3267822265625,79.0953140258789,79.42650604248047,-0.3311920166015625,2.7254390716552734,2.0029373168945312,0.7225017547607422,0,8.794457678935329,10.056417746142314,1
34,200011,gate15_nearest_200011_a53914721aad91b0,a53914721aad91b0,nearest,inside,gate15_nearest_inside,4,0.50390625,0,0,1,0.5528888289441957,1,0.4945206378554019,1,0.9565954917710917,1,0.0008720209805238428,0,-9.117720603942871,-8.920280456542969,-0.19744014739990234,23.746456146240234,25.710525512695312,-1.9640693664550781,21.673709869384766,22.32190704345703,-0.6481971740722656,80.13397216796875,80.15648651123047,-0.02251434326171875,0.6399713754653931,0.6048126220703125,0.035158753395080566,0,9.636631223348282,10.014235722623203,1
38,200012,gate15_nearest_200012_6b6ed004209833e6,6b6ed004209833e6,nearest,outside,gate15_nearest_outside,2,0.49609375,1,0,1,0.5534434897848705,0,0.48920750819805786,0,0.9855318456884866,1,0.006317378240238385,0,-11.273627281188965,-11.410385131835938,0.13675785064697266,28.20200538635254,24.29916763305664,3.9028377532958984,22.058551788330078,21.57135009765625,0.4872016906738281,82.27897644042969,82.4386978149414,-0.15972137451171875,0.823542058467865,0.487640380859375,0.33590167760849,0,9.157151787267642,10.123590863168124,1
40,200013,gate15_nearest_200013_37a8f06eb3079bd9,37a8f06eb3079bd9,nearest,inside,gate15_nearest_inside,2,0.51171875,0,0,1,0.553416330660941,1,0.5027064147391815,1,0.9685725330219922,1,0.007424871842213581,0,-5.2657623291015625,-5.0087432861328125,-0.25701904296875,24.309913635253906,25.387062072753906,-1.0771484375,24.070905685424805,23.86153793334961,0.2093677520751953,80.57796478271484,80.58570861816406,-0.00774383544921875,2.548827886581421,2.3525848388671875,0.1962430477142334,0,9.593691459315574,10.186216106753076,1
43,200014,gate15_nearest_200014_71496692ae31b5f5,71496692ae31b5f5,nearest,inside,gate15_nearest_inside,2,0.5625,1,0,1,0.5538016397550667,1,0.5005335868292257,1,0.9729058399236065,1,0.0001657368269478821,1,-11.908004760742188,-12.207023620605469,0.29901885986328125,26.14436149597168,25.543540954589844,0.6008205413818359,22.31414794921875,21.362274169921875,0.951873779296875,83.256591796875,83.287109375,-0.030517578125,0.62764972448349,0.5594329833984375,0.06821674108505249,1,10.081183705151153,10.641780242249046,1
44,200014,gate15_nearest_200014_71496692ae31b5f5,71496692ae31b5f5,nearest,outside,gate15_nearest_outside,2,0.5625,1,0,1,0.5533405859851338,0,0.4925780831811073,0,0.968741133453671,1,6.699794103930153e-05,0,-11.81653118133545,-12.142898559570312,0.3263673782348633,26.12993812561035,24.07392120361328,2.0560169219970703,21.98273468017578,20.852630615234375,1.1301040649414062,83.22467803955078,83.24021911621094,-0.01554107666015625,0.6670825481414795,0.6440200805664062,0.023062467575073242,1,10.070021041694378,10.648049044489458,1
46,200015,gate15_nearest_200015_cdad32dc80c3fec7,cdad32dc80c3fec7,nearest,inside,gate15_nearest_inside,4,0.65234375,1,0,1,0.7492540077998708,1,0.5550240096067609,1,0.9840810935946827,1,0.49282408653112814,1,-6.227065086364746,-6.0333251953125,-0.1937398910522461,26.482990264892578,25.54889678955078,0.9340934753417969,21.827516555786133,21.096046447753906,0.7314701080322266,78.70039367675781,78.62683868408203,0.07355499267578125,2.820674419403076,2.8660888671875,-0.04541444778442383,1,10.001723323983462,10.827517126761082,1
47,200015,gate15_nearest_200015_cdad32dc80c3fec7,cdad32dc80c3fec7,nearest,outside,gate15_nearest_outside,4,0.65234375,1,0,1,0.7491820932302872,0,0.5532927182162002,0,0.9838056847294979,1,0.4557773131925614,0,-6.219231128692627,-6.0313262939453125,-0.18790483474731445,26.42605209350586,24.587448120117188,1.8386039733886719,21.797653198242188,20.790081024169922,1.0075721740722656,78.69912719726562,78.6139144897461,0.08521270751953125,2.819765567779541,2.8687210083007812,-0.048955440521240234,0,9.996188371214519,10.831386255850713,1
50,200016,gate15_local_200016_0ddf66e05371d435,0ddf66e05371d435,local,outside,gate15_local_outside,2,0.65625,1,0,1,0.5527260140867705,0,0.2186860623184101,0,0.9865230609004915,1,5.1815755741195736e-05,0,-10.675626754760742,-11.535881042480469,0.8602542877197266,32.45267868041992,33.244266510009766,-0.7915878295898438,18.024391174316406,14.420867919921875,3.6035232543945312,84.31121063232422,84.20835876464844,0.10285186767578125,0.18824709951877594,0.30118560791015625,-0.11293850839138031,0,4.122431282045417,10.539083149707114,1
52,200017,gate15_local_200017_a752c3572fa8a31f,a752c3572fa8a31f,local,inside,gate15_local_inside,4,0.70703125,0,0,1,0.39773405049555577,1,0.13441817370671094,0,0.9893100654335771,1,3.9728202616677285e-05,0,-7.920462131500244,-7.906280517578125,-0.01418161392211914,28.334091186523438,28.204322814941406,0.12976837158203125,14.00609302520752,15.444717407226562,-1.438624382019043,81.47134399414062,81.42634582519531,0.0449981689453125,0.13782979547977448,0.2268829345703125,-0.08905313909053802,0,2.9258861700710943,11.044120480216446,1
55,200018,gate15_local_200018_98743a350d2c520f,98743a350d2c520f,local,inside,gate15_local_inside,4,0.75,0,0,1,0.5354457201575487,1,0.19120378413870212,0,0.9892186776191007,1,6.707478076798962e-05,0,-4.7447686195373535,-4.689643859863281,-0.055124759674072266,27.20186424255371,27.113605499267578,0.08825874328613281,14.625627517700195,15.772804260253906,-1.147176742553711,78.81234741210938,78.77645874023438,0.035888671875,1.211016058921814,1.2096099853515625,0.0014060735702514648,0,4.841030803121001,11.781690957193987,1
59,200019,gate15_local_200019_4a20372b5f0937db,4a20372b5f0937db,local,outside,gate15_local_outside,2,0.75390625,1,0,1,0.5556538443389416,0,0.5318414439690128,0,0.9943158208344476,1,0.028732443816049724,0,-14.297059059143066,-15.191726684570312,0.8946676254272461,29.96002769470215,30.53308868408203,-0.5730609893798828,20.973628997802734,14.138801574707031,6.834827423095703,85.47310638427734,85.33885192871094,0.13425445556640625,0.005849160254001617,0.05535888671875,-0.04950972646474838,0,5.482924880793335,11.832347727956831,1
