case_id,via_pair_pitch_mm,via_radius_mm,bottom_pad_width_mm,bottom_pad_length_y_mm,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,frequency_ghz,s11_real,s11_imag,s11_magnitude,s11_phase_deg,input_resistance_ohm,input_reactance_ohm,passive_rl_db,topology_warning_count,screen_gate_pass
via_v0_open_pad,1.1,0.18,0.5,0.8,2,0.00209527,True,98,6.550678253173828,152536,10.0,-0.09752183333568643,-0.02963712343526565,0.10192579194036498,-163.09584504362,41.04796847783059,-2.4586297951872385,19.834318109854724,0,True
via_v3_close_pair,0.9,0.15,0.75,1.2,2,0.00225641,True,102,6.681613922119141,153950,10.0,-0.09384298370243753,-0.07821982019512452,0.12216728638033,-140.188183695102,40.95569170307499,-6.504167377530211,18.26090145413407,0,True
via_v1_mid_pad,1.1,0.18,0.8,1.2,2,0.00247578,True,102,6.715076446533203,157469,10.0,-0.09798163405423733,-0.09317175101900202,0.13520863803724,-136.44139669635,40.42507533902721,-7.67322725996177,17.379911237107883,0,True
via_v2_tight_pad,1.1,0.18,1.0,1.5,2,0.0022413,True,102,6.551776885986328,159235,10.0,-0.1050299562552913,-0.14900322427454937,0.182299897298929,-125.17938835488602,38.87927540378814,-11.984560718361678,14.78427152021051,0,True
via_v5_large_via_tight_pad,1.1,0.24,0.9,1.5,2,0.00207717,True,108,6.870399475097656,162366,10.0,-0.10102952140452491,-0.1993105725681916,0.22345395170524,-116.880219688119,37.94230751317396,-15.919492913377429,13.016239211783828,0,True
via_v4_wide_heavy,1.3,0.25,1.1,1.5,2,0.00202012,True,108,6.943794250488281,165636,10.0,-0.10494529104428962,-0.2014607976832947,0.227156261449162,-117.51598287399102,37.59045335229722,-15.970060006426058,12.873505751467299,0,True
