candidate_index,sample_index,k,ratio,active_count,selection_role,large_scan,min_target_separation_deg,max_target_theta_deg,frozen_E2_corner,E2_worst_margin_db,hfss_psll_db,hfss_nearest_iso_db,hfss_local_iso_db,hfss_mainlobe_gain_db,delta_psll_db,delta_nearest_iso_db,delta_local_iso_db,delta_mainlobe_gain_db,fullwave_pattern_gate,semantic_active_rl_gate,combined_worst_active_rl_db,combined_total_rl_db,worst_significant_case_active_rl_db,all_nonzero_task_diagnostic_gate,final_engineering_gate
0,426106,2,0.5,128,reserve,0,26.896507366888013,21.0,frequency_low_x0.20,0.35736846923828125,-9.024703979492188,29.045867919921875,24.281959533691406,82.22222900390625,-0.06137847900390625,-0.01381683349609375,-0.31235504150390625,-0.01027679443359375,1,1,11.431883781823544,12.048419193976528,11.236087733096392,1,1
1,426104,2,0.5,128,reserve,0,32.71324762342763,39.0,frequency_low_x0.20,0.33586883544921875,-10.237709045410156,29.846961975097656,22.94925308227539,82.02717590332031,-0.14040374755859375,-0.4896087646484375,0.130401611328125,0.00423431396484375,1,1,11.428924068676329,12.428006171789223,11.42892403206302,1,1
2,426100,2,0.5,128,psll_boundary,0,19.999999999999993,37.0,frequency_high_x0.20,0.044552434235811234,-4.645469665527344,27.786945343017578,24.15884780883789,81.64073181152344,-0.00522613525390625,-0.338531494140625,0.008113861083984375,0.00395965576171875,1,1,12.035358816055851,12.352080350556813,11.483786147691513,0,1
3,426107,2,0.6,154,nearest_boundary,1,19.999999999999993,41.0,frequency_low_x0.20,0.31034088134765625,-10.377700805664062,27.183570861816406,23.656410217285156,82.81504821777344,-0.0419158935546875,-0.6070671081542969,-0.40001678466796875,0.02349853515625,1,1,11.202429493175647,12.45910613768974,11.202429142473264,1,1
4,426102,2,0.7,179,local_boundary,1,20.00000000000001,40.0,frequency_high_x0.20,0.21133208274841309,-7.7939300537109375,28.682968139648438,24.710350036621094,83.69091796875,0.050079345703125,0.2384033203125,-0.17330169677734375,-0.00629425048828125,1,1,11.026819565245434,13.405854047986756,11.018087874918272,1,1
5,426105,2,0.8,205,active_rl_boundary,1,33.826009455544174,41.0,frequency_low_x0.20,0.280059814453125,-10.880386352539062,27.963695526123047,24.216392517089844,84.17214965820312,-0.037139892578125,0.5111122131347656,0.16355514526367188,-0.0231475830078125,1,1,11.573289372236303,14.454268121240634,11.141665691471225,1,1
6,426109,2,0.6,154,large_scan,0,18.00000000000001,32.0,frequency_low_x0.20,0.29116058349609375,-9.861259460449219,29.898693084716797,24.04248809814453,83.05367279052734,0.03774261474609375,0.04103851318359375,-0.92828369140625,0.0021820068359375,1,1,11.772230720855518,12.250385105124998,11.292986584826824,1,1
7,426111,4,0.5,128,reserve,0,16.000000000000018,38.0,frequency_low_x0.20,0.3118000328540802,-5.2800140380859375,27.10973358154297,22.46094512939453,79.17242431640625,-0.00495147705078125,0.08929443359375,-0.35694122314453125,-0.020477294921875,1,1,11.882987309565596,12.189019212032166,10.978616775507534,1,1
8,426115,4,0.5,128,psll_boundary,0,21.58724520322422,35.0,frequency_high_x0.20,0.2408067286014557,-3.1034698486328125,26.33747100830078,22.577472686767578,78.43245697021484,0.09072113037109375,-0.3450126647949219,0.07581710815429688,-0.01129150390625,1,1,11.994268962035683,12.201551140995566,11.793343380546384,0,1
9,426116,4,0.6,154,nearest_boundary,1,22.431486476555182,40.0,frequency_high_x0.20,0.196095272898674,-7.150871276855469,25.65764617919922,21.316864013671875,79.35460662841797,0.1722869873046875,-0.1982269287109375,-0.19658660888671875,-0.07489013671875,1,1,10.883651563201479,13.053687112382725,10.630339705476931,1,1
10,426110,4,0.7,179,local_boundary,0,16.000000000000018,39.0,frequency_low_x0.20,0.28093892335891724,-7.4221038818359375,27.03771209716797,22.565536499023438,80.50597381591797,0.14289093017578125,-0.10033798217773438,0.19309234619140625,-0.02915191650390625,1,1,11.573340584913458,12.955637453613617,10.621623772186963,1,1
11,426113,4,0.8,205,active_rl_boundary,1,23.56344134439845,42.0,frequency_low_x0.20,0.2664642333984375,-9.546501159667969,26.857501983642578,23.50377655029297,81.32916259765625,-0.020416259765625,-0.3054542541503906,-0.1952667236328125,-0.04317474365234375,1,1,10.98742672569747,13.646420074239863,10.744895459548012,1,1
12,426117,4,0.6,154,large_scan,1,22.996331885497668,41.0,frequency_high_x0.20,0.045229632407426834,-5.7596893310546875,26.65105438232422,23.01712417602539,79.69701385498047,-0.14276123046875,0.07026290893554688,-0.4666290283203125,-0.03253936767578125,1,1,11.045077734100012,12.850685825849002,10.682204522229286,1,1
13,426121,6,0.5,128,reserve,1,13.433188811140962,50.0,frequency_low_x0.20,0.34738922119140625,-4.797508239746094,27.69091796875,23.538532257080078,76.59102630615234,-0.08391571044921875,-0.3646049499511719,0.3874702453613281,0.00913238525390625,1,1,11.442146716160357,12.256547650719439,10.890386334970763,0,1
14,426128,6,0.5,128,psll_boundary,1,16.000000000000018,41.0,frequency_low_x0.20,0.07132849842309952,-3.2043991088867188,27.153179168701172,24.157062530517578,76.94937896728516,0.0101165771484375,-0.3944053649902344,0.20190811157226562,-0.02324676513671875,1,1,10.993849844587078,12.837915635615216,10.993849583079431,0,1
15,426125,6,0.6,154,nearest_boundary,1,15.999999999999995,58.0,frequency_high_x0.20,0.2602548599243164,-1.9441757202148438,27.319122314453125,22.40496826171875,75.33665466308594,0.04550933837890625,-0.09217071533203125,-0.15468978881835938,-0.0254974365234375,1,1,12.671669767495361,13.412802434916362,11.80493025887736,0,1
16,426122,6,0.7,179,local_boundary,1,13.98865949788551,58.0,frequency_low_x0.20,0.0018352261977270246,-4.6662750244140625,28.023399353027344,21.443634033203125,76.61830139160156,-0.02327728271484375,-0.026546478271484375,0.6198577880859375,0.0290985107421875,1,1,12.164863484078188,13.265760861801237,11.887996846710305,0,1
17,426124,6,0.8,205,active_rl_boundary,1,14.0,56.0,frequency_high_x0.20,0.02759375236928463,-4.787910461425781,26.433307647705078,20.949234008789062,77.04347229003906,0.10367584228515625,-1.0107231140136719,-0.7828292846679688,-0.04750823974609375,1,1,11.553340993616345,13.907564253291024,11.296384696603326,0,1
18,426126,6,0.7,179,large_scan,1,15.517605913375775,48.0,frequency_low_x0.20,0.33162689208984375,-3.986846923828125,28.138526916503906,22.863773345947266,76.8799819946289,-0.08453369140625,-0.06960678100585938,0.024692535400390625,0.00986480712890625,1,1,11.644926484617873,13.761704350115805,11.644925335575016,0,1
19,426120,6,0.8,205,small_gap,1,14.0,56.0,frequency_low_x0.20,0.334747314453125,-0.9103775024414062,27.99725341796875,22.340892791748047,75.80570983886719,-0.0461273193359375,-0.33197784423828125,0.16181564331054688,-0.03534698486328125,1,1,12.965253204855664,14.302871195886857,12.70095994011481,0,1
