destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
109,6,13,interior,93,5,13,interior,2,0.10681984178297099,0.11670396870842088,1
100,6,4,interior,84,5,4,interior,2,0.11500685510713997,0.11639810286750137,1
113,7,1,interior,97,6,1,interior,2,0.10666244238250852,0.11614227045789235,1
8,0,8,edge,40,2,8,interior,2,0.09485289193076532,0.11550027964917227,2
155,9,11,interior,171,10,11,interior,2,0.11128553335579569,0.11427131212434692,1
139,8,11,interior,123,7,11,interior,2,0.09600095825040277,0.11280491089462777,1
164,10,4,interior,148,9,4,interior,2,0.08786730506752624,0.1123831055818091,1
208,13,0,edge,208,13,0,edge,2,0.08704513337543107,0.11066895451417597,0
134,8,6,interior,118,7,6,interior,2,0.08629492158631984,0.11049424110352034,1
127,7,15,edge,159,9,15,edge,2,0.10981466722302573,0.11035617404210218,2
170,10,10,interior,186,11,10,interior,2,0.10919774845950661,0.11005339587614824,1
74,4,10,interior,90,5,10,interior,2,0.10797636186180823,0.10962128710102663,1
96,6,0,edge,96,6,0,edge,2,0.10689475842317575,0.10833246346227479,0
131,8,3,interior,147,9,3,interior,2,0.09116849016952212,0.10779966354883103,1
31,1,15,edge,63,3,15,edge,2,0.08662604163076101,0.10779484008024204,2
0,0,0,corner,0,0,0,corner,2,0.10592195658928197,0.10666666118438911,0
77,4,13,interior,93,5,13,interior,2,0.09527229203158166,0.10527386441592153,1
251,15,11,edge,235,14,11,interior,2,0.10465659448339035,0.1048515653696077,1
169,10,9,interior,153,9,9,interior,2,0.10443917732088549,0.1047588173732428,1
86,5,6,interior,102,6,6,interior,2,0.08659322849515409,0.10458887711722621,1
26,1,10,interior,42,2,10,interior,2,0.10360740493170303,0.10408063103836172,1
104,6,8,interior,120,7,8,interior,2,0.08014626732796239,0.10366895389564798,1
209,13,1,interior,241,15,1,edge,2,0.08081482105302071,0.10333281289567132,2
42,2,10,interior,26,1,10,interior,2,0.0978064761409003,0.09840174342081413,1
