sample_index,k,three_frequency_oracle_pass,three_frequency_reserve11_oracle_pass,minimum_strict_ratio,minimum_reserve11_ratio,best_evaluation_index,best_ratio,best_worst_margin_db,best_active_rl_floor_db,best_high_E2_active_rl_floor_db,verified_full_candidate_count,generated_mask_count
426106,2,1,0,0.6,nan,49,0.7,0.691808819770813,10.691808819770813,10.954526266934101,41,128
426104,2,1,0,0.6,nan,84,0.7,0.7963333129882812,10.831756711006165,10.968903421312632,41,128
426100,2,1,0,0.6,nan,129,0.7,0.7301874160766602,10.73018741607666,10.905178602508755,41,128
426107,2,0,0,nan,nan,174,0.8,-0.07523345947265625,10.27977842092514,10.893331558973959,41,128
426102,2,0,0,nan,nan,4,0.699999988079071,-0.8889638781547546,9.111036121845245,10.879680461596115,41,128
426105,2,0,0,nan,nan,5,0.800000011920929,-0.4540803134441376,9.545919686555862,10.888185676056919,41,128
426109,2,0,0,nan,nan,6,0.6000000238418579,-0.306747704744339,9.693252295255661,10.86540025689052,41,128
426111,4,1,0,0.7,nan,324,0.7,0.29438018798828125,10.607509791851044,10.863554447518062,41,128
426115,4,1,0,0.8,nan,379,0.8,0.5,10.688757538795471,10.922941600983103,41,128
426116,4,0,0,nan,nan,414,0.8,-0.5,10.085239723324776,10.910375674373432,41,128
426110,4,0,0,nan,nan,10,0.699999988079071,-0.17215299606323242,9.827847003936768,10.895000883812262,41,128
426113,4,0,0,nan,nan,11,0.800000011920929,-0.8991820812225342,9.100817918777466,10.839548500142742,41,128
426117,4,0,0,nan,nan,534,0.8,-0.4577484130859375,10.500985562801361,10.872864567593503,41,128
426121,6,0,0,nan,nan,13,0.5,-1.2759311199188232,8.724068880081177,10.816555198445085,41,128
426128,6,0,0,nan,nan,618,0.8,-1.058837890625,9.352720141410828,10.888977183243775,41,128
426125,6,0,0,nan,nan,15,0.6000000238418579,-0.07937019318342209,9.920629806816578,10.70755022696564,41,128
426122,6,1,0,0.699999988079071,nan,16,0.699999988079071,0.0018352261977270246,10.102572359144688,10.44669812202309,1,0
426124,6,0,0,nan,nan,17,0.800000011920929,-0.6269834637641907,9.37301653623581,10.857167982798085,41,128
426126,6,0,0,nan,nan,18,0.699999988079071,-0.11736184358596802,9.882638156414032,10.770633155156569,41,128
426120,6,1,0,0.800000011920929,nan,19,0.800000011920929,0.3447273075580597,10.34472730755806,11.380475174019143,1,0
