stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass
601,k6_supported_scene,421025,6,0.5,corner,combined,-1,P10,-6.03168169436319,2.002553302845709,0.12552909798424364,0.2513787097715899,0.21168292354592377,0.21599980305800834,False,False
1375,k6_supported_scene,421037,6,0.5,corner,task,5,P10,-5.675793120123,1.9221605339074428,0.12525168074426202,0.24075383753219531,0.20114577834058314,0.20545311762001406,False,False
607,k6_supported_scene,421025,6,0.5,corner,task,1,P10,-5.615025875788512,1.9087598613296646,0.1289328783750534,0.2461019030480014,0.20532974695333758,0.20976368067889675,False,False
424,k6_supported_scene,421022,6,0.5,corner,task,3,P01,-3.6565688868194823,1.5234508390801502,0.14126288619425098,0.21520706250351543,0.1705358155812166,0.1753937717764124,False,False
175,old_285_replay,426113,4,0.800000011920929,edge,combined,-1,P10,-2.521052488407915,1.3367574845864334,0.17475516858322312,0.23360527957378743,0.17834284301281889,0.18435258114526762,False,False
664,k6_supported_scene,421026,6,0.5,corner,combined,-1,P10,-2.5016066836765765,1.333768124831449,0.17914309630570752,0.23893535163616317,0.18228533049407003,0.18844596714797612,False,False
1105,k6_supported_scene,421033,6,0.5,corner,combined,-1,P10,-2.426911693807349,1.32234745797125,0.14923520024556358,0.19734078768455143,0.1501484736998214,0.1552805935729585,False,False
1294,k6_supported_scene,421036,6,0.5,corner,combined,-1,P11,-2.185867445256408,1.2861551831634253,0.1666759743800141,0.21437116835766945,0.16166359733079788,0.16739549623321914,False,False
1396,k6_supported_scene,421037,6,0.5,edge,task,5,P00,-1.254560045682388,1.1553883982335644,0.0773020062353932,0.08931384116455196,0.06486880042411389,0.0675271756719189,False,False
1519,k6_supported_scene,421039,6,0.5,edge,task,4,P10,-1.143880904126674,1.140759371385022,0.20492491711625158,0.23377001963066288,0.16896707088980495,0.17601433077154024,False,False
1108,k6_supported_scene,421033,6,0.5,corner,task,0,P10,-0.902657848442223,1.1095142703746432,0.12916314770726395,0.14330835558771723,0.10246338193654629,0.10690523450306302,False,False
1237,k6_supported_scene,421035,6,0.5,corner,task,1,P10,-0.8096688009858961,1.097699433432709,0.19784261741304895,0.21717172904314808,0.15460840011569565,0.161412103443786,False,False
1114,k6_supported_scene,421033,6,0.5,corner,task,2,P01,-0.722977884952909,1.0867981594544518,0.22712588090754454,0.2468399893347904,0.1750164794107912,0.18282721873496774,False,False
1300,k6_supported_scene,421036,6,0.5,corner,task,1,P10,-0.6227952257384697,1.0743350909156044,0.2256013220956135,0.24237141688427158,0.1710300147875306,0.17878832533777445,False,False
1360,k6_supported_scene,421037,6,0.5,corner,task,0,P01,-0.42683390089468454,1.0503685145877568,0.2292618856920653,0.24080946632596273,0.16831049238075324,0.17619468778356082,False,False
367,k6_supported_scene,421021,6,0.5,corner,task,5,P10,-0.2554501726812674,1.029846526746705,0.26247949352482197,0.27031359474877215,0.18731029088618661,0.19633682231304245,False,False
976,k6_supported_scene,421030,6,0.5,interior,task,5,P11,-0.2367214040789252,1.0276283339508552,0.2111283630955165,0.21696148801761686,0.15019683741312986,0.15745743053219607,False,False
1393,k6_supported_scene,421037,6,0.5,edge,task,4,P10,0.40428038412487055,0.9545220840662406,0.2547684510151162,0.24318211281727664,0.16261725470119626,0.17137860744070788,False,False
649,k6_supported_scene,421025,6,0.5,interior,task,1,P10,0.49765138244549284,0.9443161797528753,0.2395876879993598,0.22624653024737923,0.15048225090620249,0.15872154520752832,False,False
754,k6_supported_scene,421027,6,0.699999988079071,edge,task,1,P00,0.5504793345816448,0.9385902387340628,0.1216599374111,0.11418882969905549,0.075716579477795,0.07990040059724088,False,False
979,k6_supported_scene,421031,6,0.5,corner,combined,-1,P10,0.6800482243259908,0.9246930399998178,0.15516180167119176,0.1434770380791831,0.09441056816555446,0.09974650073775038,False,False
1213,k6_supported_scene,421034,6,0.5,interior,task,0,P11,0.7314249029552158,0.9192396629919396,0.24512214382323927,0.22532599687993624,0.14781156893745523,0.15624119025729943,False,False
1231,k6_supported_scene,421035,6,0.5,corner,combined,-1,P10,0.7713706302483472,0.915021857769587,0.32779302259089876,0.2999377804950324,0.1962805252452056,0.20755315450925516,False,False
370,k6_supported_scene,421021,6,0.5,edge,combined,-1,P10,0.8766864104115101,0.9039942737185117,0.24124487153396898,0.21808398243066596,0.14179565564245988,0.15009193961202355,False,False
901,k6_supported_scene,421029,6,0.5,interior,task,1,P10,0.9636143979314671,0.8949922612402781,0.2522540548863329,0.22576542698974827,0.1459956907443544,0.15467057472635953,False,False
1384,k6_supported_scene,421037,6,0.5,edge,task,1,P00,1.1660413542433774,0.8743754035745388,0.20090854167938232,0.17566948721248196,0.11213662790351012,0.11904576675104153,False,False
1501,k6_supported_scene,421039,6,0.5,corner,task,5,P10,1.3006963051563616,0.8609247333063049,0.2614767779286655,0.2251118253040283,0.14242560795436554,0.1514176565204106,False,False
