common_centerline_length_mm,proxy_max_abs_delta_s,proxy_active_rl_min_db
22.79279851202395,0.07362645688493848,9.858219618449287
22.84279851202395,0.06839316768953492,10.114488718928435
22.89279851202395,0.06313973263686905,10.38119039264923
22.942798512023952,0.05786765795881469,10.659000200649151
22.992798512023953,0.052578467879702745,10.948665925572854
23.042798512023953,0.047273703207656934,11.251018418224898
23.092798512023954,0.04195491988529946,11.422648997668878
23.142798512023955,0.036623687503470045,11.544370721271342
23.192798512023955,0.03128158778179841,11.670093844200265
23.242798512023956,0.025930213020025086,11.799937153774874
23.292798512023957,0.020571164524119136,11.934025306684696
23.342798512023958,0.015206051011276187,11.920220988853234
23.39279851202396,0.009836486997970375,11.816146848793498
23.44279851202396,0.013941087976491127,11.634701017312334
23.49279851202396,0.018899037174030575,11.457195368805824
23.54279851202396,0.023858335024040146,11.283623139467856
23.59279851202396,0.028817327406469456,11.113969083203264
23.642798512023962,0.03377434456783416,10.948210860237849
23.692798512023963,0.038727703202781835,10.786320225639553
23.742798512023963,0.04367570861926216,10.628264044957223
23.792798512023964,0.04861665698054084,10.47400516080706
23.842798512023965,0.05354883761668475,10.267492201720776
23.892798512023965,0.05847053539747247,9.986768645984935
23.942798512023966,0.06338003315815577,9.71617368139895
23.992798512023967,0.0682756141689114,9.45519318448374
