nominal_identity_psll_db,nominal_identity_weakest_target_gain_db,nominal_identity_target_spread_db,nominal_identity_nearest_iso_db,nominal_identity_local_iso_db,nominal_identity_pointing_error_deg,nominal_identity_active_rl_floor_db,nominal_identity_active_rl_gate,nominal_identity_psll_margin_db,nominal_identity_nearest_iso_margin_db,nominal_identity_local20_iso_margin_db,nominal_identity_mainlobe_margin_db,nominal_identity_active_rl_margin_db,nominal_identity_hardware_margin_db,nominal_identity_strict_pass,nominal_identity_combined_dynamic_range_db,nominal_identity_combined_peak_to_rms_db,nominal_identity_corner_power_increase_db,nominal_identity_normalized_wng_db,frequency_low_identity_psll_db,frequency_low_identity_weakest_target_gain_db,frequency_low_identity_target_spread_db,frequency_low_identity_nearest_iso_db,frequency_low_identity_local_iso_db,frequency_low_identity_pointing_error_deg,frequency_low_identity_active_rl_floor_db,frequency_low_identity_active_rl_gate,frequency_low_identity_psll_margin_db,frequency_low_identity_nearest_iso_margin_db,frequency_low_identity_local20_iso_margin_db,frequency_low_identity_mainlobe_margin_db,frequency_low_identity_active_rl_margin_db,frequency_low_identity_hardware_margin_db,frequency_low_identity_strict_pass,frequency_low_identity_combined_dynamic_range_db,frequency_low_identity_combined_peak_to_rms_db,frequency_low_identity_corner_power_increase_db,frequency_low_identity_normalized_wng_db,frequency_low_E2_source_psll_db,frequency_low_E2_source_weakest_target_gain_db,frequency_low_E2_source_target_spread_db,frequency_low_E2_source_nearest_iso_db,frequency_low_E2_source_local_iso_db,frequency_low_E2_source_pointing_error_deg,frequency_low_E2_source_active_rl_floor_db,frequency_low_E2_source_active_rl_gate,frequency_low_E2_source_psll_margin_db,frequency_low_E2_source_nearest_iso_margin_db,frequency_low_E2_source_local20_iso_margin_db,frequency_low_E2_source_mainlobe_margin_db,frequency_low_E2_source_active_rl_margin_db,frequency_low_E2_source_hardware_margin_db,frequency_low_E2_source_strict_pass,frequency_low_E2_source_combined_dynamic_range_db,frequency_low_E2_source_combined_peak_to_rms_db,frequency_low_E2_source_corner_power_increase_db,frequency_low_E2_source_normalized_wng_db,frequency_high_identity_psll_db,frequency_high_identity_weakest_target_gain_db,frequency_high_identity_target_spread_db,frequency_high_identity_nearest_iso_db,frequency_high_identity_local_iso_db,frequency_high_identity_pointing_error_deg,frequency_high_identity_active_rl_floor_db,frequency_high_identity_active_rl_gate,frequency_high_identity_psll_margin_db,frequency_high_identity_nearest_iso_margin_db,frequency_high_identity_local20_iso_margin_db,frequency_high_identity_mainlobe_margin_db,frequency_high_identity_active_rl_margin_db,frequency_high_identity_hardware_margin_db,frequency_high_identity_strict_pass,frequency_high_identity_combined_dynamic_range_db,frequency_high_identity_combined_peak_to_rms_db,frequency_high_identity_corner_power_increase_db,frequency_high_identity_normalized_wng_db,frequency_high_E2_source_psll_db,frequency_high_E2_source_weakest_target_gain_db,frequency_high_E2_source_target_spread_db,frequency_high_E2_source_nearest_iso_db,frequency_high_E2_source_local_iso_db,frequency_high_E2_source_pointing_error_deg,frequency_high_E2_source_active_rl_floor_db,frequency_high_E2_source_active_rl_gate,frequency_high_E2_source_psll_margin_db,frequency_high_E2_source_nearest_iso_margin_db,frequency_high_E2_source_local20_iso_margin_db,frequency_high_E2_source_mainlobe_margin_db,frequency_high_E2_source_active_rl_margin_db,frequency_high_E2_source_hardware_margin_db,frequency_high_E2_source_strict_pass,frequency_high_E2_source_combined_dynamic_range_db,frequency_high_E2_source_combined_peak_to_rms_db,frequency_high_E2_source_corner_power_increase_db,frequency_high_E2_source_normalized_wng_db,all_corner_strict_pass,source_pair_strict_pass,all_corner_pattern_pass,all_corner_active_rl_pass,robust_worst_margin_db,robust_pattern_margin_db,robust_active_rl_margin_db,robust_hardware_margin_db,selection_index,generated_index,sample_index,k,ratio,selection_role,target_stage_db,backtracking_alpha,optimizer_joint_equality_error_max,optimizer_joint_regional_ratio_max,optimizer_joint_equality_condition_number,optimizer_analog_E2_active_rl_floor_db,optimizer_frozen_implementation_E2_active_rl_floor_db,optimizer_selected_sweep_index,robust_psll_margin_db,design_reserve11_pass,path_index,selected_best,path_candidate_count
-5.6241607666015625,81.45504760742188,0.061431884765625,27.23236083984375,20.740211486816406,8.537736462515939e-07,-0.6620665304271414,0,5.6241607666015625,2.23236083984375,0.7402114868164062,-1.742156982421875,-10.662066459655762,-4.008576393127441,0,24.008576587766747,5.679472039525172,0.0,-1.057931590797784,-5.389686584472656,81.42546081542969,0.08470916748046875,27.123748779296875,20.764400482177734,8.537736462515939e-07,-0.7850718285980302,0,5.389686584472656,2.123748779296875,0.7644004821777344,-1.7717437744140625,-10.78507137298584,-4.008576393127441,0,24.008576587766747,5.679472039525172,0.0,-1.051764182290625,-5.2008514404296875,81.40556335449219,0.08263397216796875,26.78484344482422,20.658161163330078,8.537736462515939e-07,-0.854269526069093,0,5.2008514404296875,1.7848434448242188,0.6581611633300781,-1.7916412353515625,-10.854269981384277,-4.2413201332092285,0,24.24132022758425,5.921274998538975,-0.002979016827871354,-1.0768018221400821,-5.7377471923828125,81.42479705810547,0.04627227783203125,27.2550048828125,20.728008270263672,8.537736462515939e-07,-0.1723708318716319,0,5.7377471923828125,2.2550048828125,0.7280082702636719,-1.7724075317382812,-10.172370910644531,-4.008576393127441,0,24.008576587766747,5.679472039525172,0.0,-1.0685717209395353,-5.744789123535156,81.4437026977539,0.02942657470703125,26.79404067993164,20.75897979736328,8.537736462515939e-07,-0.04399486172550381,0,5.744789123535156,1.7940406799316406,0.7589797973632812,-1.7535018920898438,-10.043994903564453,-4.420183181762695,0,24.42018305491258,5.575832859564796,-0.012864161243990955,-1.0750852090562684,0,0,0,0,-10.854269981384277,-1.7916412353515625,-10.854269981384277,-4.420183181762695,16,523,426102,2,0.5,pattern_best,10.5,0.25,8.036492009837629e-06,1.035103800218579,12490054.87800569,-7.589470428625772,-7.454844400615826,1.0,5.2008514404296875,0,0,1,16
-8.787620544433594,81.67346954345703,0.1484375,29.06488800048828,21.702960968017578,0.9999999999999002,5.408523923840058,0,8.787620544433594,4.064888000488281,1.7029609680175781,-1.5237350463867188,-4.591475963592529,-1.0872608423233032,0,21.087260899970268,8.172039954150797,0.0,-1.1335233196792516,-8.763328552246094,81.63404846191406,0.16275787353515625,29.30679702758789,21.72762680053711,0.9999999999999002,5.814686484428426,0,8.763328552246094,4.306797027587891,1.7276268005371094,-1.5631561279296875,-4.185313701629639,-1.0872608423233032,0,21.087260899970268,8.172039954150797,0.0,-1.1350148147149128,-8.632949829101562,81.62815856933594,0.1885528564453125,29.05099868774414,21.143123626708984,8.537736462515939e-07,5.11107624683111,0,8.632949829101562,4.050998687744141,1.1431236267089844,-1.5690460205078125,-4.888923645019531,-1.4402666091918945,0,21.44026660025399,8.247727557453592,-0.005045352452561517,-1.135873127355921,-8.792823791503906,81.64653015136719,0.15042877197265625,28.793659210205078,21.683135986328125,0.9999999999999002,4.296827803336116,0,8.792823791503906,3.793659210205078,1.683135986328125,-1.5506744384765625,-5.703172206878662,-1.0872608423233032,0,21.087260899970268,8.172039954150797,0.0,-1.1403014582467117,-8.927330017089844,81.6805191040039,0.104644775390625,28.13421630859375,21.48339080810547,0.9999999999999002,4.064397448058507,0,8.927330017089844,3.13421630859375,1.4833908081054688,-1.5166854858398438,-5.93560266494751,-0.9491211771965027,0,20.949121183357992,7.881232890579496,-0.02831075958326843,-1.1414928373472923,0,0,0,0,-5.93560266494751,-1.5690460205078125,-5.93560266494751,-1.4402666091918945,17,527,426102,2,0.5,active_rl_best,10.0,0.25,2.1385307866344595e-06,1.0352901079033068,11637978.896271262,-16.189903201527287,-16.189903201527287,1.0,8.632949829101562,0,1,1,16
-6.6332550048828125,82.32875061035156,0.16172027587890625,25.006038665771484,21.633888244628906,8.537736462515939e-07,5.3950311036678205,0,6.6332550048828125,0.006038665771484375,1.6338882446289062,-0.8684539794921875,-4.604969024658203,0.026812730357050896,0,19.973187269816826,6.226151067817277,0.0,-0.4977600628085015,-6.246734619140625,82.280029296875,0.2233123779296875,25.029788970947266,21.65325927734375,8.537736462515939e-07,3.864232758393195,0,6.246734619140625,0.029788970947265625,1.65325927734375,-0.91717529296875,-6.135767459869385,0.026812730357050896,0,19.973187269816826,6.226151067817277,0.0,-0.49958130113621685,-5.974250793457031,82.27117919921875,0.19861602783203125,24.41490936279297,20.90267562866211,8.537736462515939e-07,3.317165180624319,0,5.974250793457031,-0.5850906372070312,0.9026756286621094,-0.926025390625,-6.682834625244141,-0.46843379735946655,0,20.468433784028605,6.283955606582365,-0.0025702883719133677,-0.5230452251554214,-7.00909423828125,82.3104248046875,0.1374053955078125,24.965946197509766,21.63287353515625,0.9999999999999002,6.208090258852511,0,7.00909423828125,-0.034053802490234375,1.63287353515625,-0.88677978515625,-3.791909694671631,0.026812730357050896,0,19.973187269816826,6.226151067817277,0.0,-0.5042395576520808,-7.030281066894531,82.33828735351562,0.07991790771484375,24.765907287597656,21.203819274902344,0.9999999999999002,6.348408941969964,0,7.030281066894531,-0.23409271240234375,1.2038192749023438,-0.858917236328125,-3.6515910625457764,0.10942559689283371,0,19.89057440049074,5.904468266826698,-0.004291440782264686,-0.5088449034015524,0,0,0,0,-6.682834625244141,-0.926025390625,-6.682834625244141,-0.46843379735946655,18,524,426102,2,0.5,max_min_best,warm,0.0,,,,,,,5.974250793457031,0,2,1,16
-8.912910461425781,81.59027862548828,0.15615081787109375,30.93675994873047,21.507369995117188,0.9999999999999002,5.955005853518152,0,8.912910461425781,5.936759948730469,1.5073699951171875,-1.6069259643554688,-4.044994354248047,-1.0223203897476196,0,21.022320435311507,8.268480399200222,0.0,-1.1730585855101798,-8.564437866210938,81.55158996582031,0.17223358154296875,31.23464584350586,21.523780822753906,0.9999999999999002,6.171278692498751,0,8.564437866210938,6.234645843505859,1.5237808227539062,-1.6456146240234375,-3.828721284866333,-1.0223203897476196,0,21.022320435311507,8.268480399200222,0.0,-1.1722753187666677,-8.38916015625,81.55023193359375,0.17267608642578125,31.054718017578125,21.034446716308594,0.9999999999999002,6.219581190505662,0,8.38916015625,6.054718017578125,1.0344467163085938,-1.64697265625,-3.780418872833252,-1.154654622077942,0,21.15465458096699,8.3685467425912,-0.007452721732106078,-1.1779192400818044,-8.913063049316406,81.56258392333984,0.15650177001953125,30.60118865966797,21.491832733154297,0.9999999999999002,5.475238760283968,0,8.913063049316406,5.601188659667969,1.4918327331542969,-1.6346206665039062,-4.524761199951172,-1.0223203897476196,0,21.022320435311507,8.268480399200222,0.0,-1.1819252447879893,-8.99407958984375,81.58934020996094,0.1351165771484375,30.182430267333984,21.206405639648438,0.9999999999999002,5.401275499747142,0,8.99407958984375,5.182430267333984,1.2064056396484375,-1.6078643798828125,-4.598724365234375,-0.6715001463890076,0,20.671500168802343,7.998068793833202,-0.024777389294082085,-1.179905025344556,0,0,0,0,-4.598724365234375,-1.64697265625,-4.598724365234375,-1.154654622077942,19,520,426102,2,0.5,pareto_knee,10.0,0.25,8.387702039888875e-06,1.0363189320705306,11497307.865459597,-10.232479357036953,-10.743978920695623,1.0,8.38916015625,0,3,1,16
-6.628654479980469,83.28990936279297,0.21503448486328125,27.02025604248047,22.308555603027344,0.9999999999999002,6.929695181364214,0,6.628654479980469,2.0202560424804688,2.3085556030273438,0.09270477294921875,-3.0703048706054688,1.0,0,18.691814768697785,4.9381192504853635,0.0,-0.5549863429829225,-6.1861724853515625,83.25022888183594,0.244171142578125,27.576534271240234,22.24331283569336,1.0000000000002647,6.240432884403529,0,6.1861724853515625,2.5765342712402344,2.2433128356933594,0.0530242919921875,-3.7595670223236084,1.0,0,18.691814768697785,4.9381192504853635,0.0,-0.5616869335910496,-5.998405456542969,83.26309967041016,0.1919097900390625,27.207767486572266,21.32830810546875,1.0000000000002647,4.917519612353089,0,5.998405456542969,2.2077674865722656,1.32830810546875,0.06589508056640625,-5.082480430603027,1.0069472789764404,0,18.81564098556453,5.044781737790773,-0.006947272789356117,-0.5651715274129944,-7.105308532714844,83.28396606445312,0.1873931884765625,26.469390869140625,22.29792022705078,0.9999999999999002,5.920038164971569,0,7.105308532714844,1.469390869140625,2.2979202270507812,0.086761474609375,-4.079961776733398,1.0,0,18.691814768697785,4.9381192504853635,0.0,-0.5575140362633862,-7.102592468261719,83.29185485839844,0.17462921142578125,26.362422943115234,22.051509857177734,0.9999999999999002,6.2065634176953965,0,7.102592468261719,1.3624229431152344,2.0515098571777344,0.0946502685546875,-3.7934365272521973,0.9121552109718323,0,19.087844808741508,4.793073228740383,-0.007676898815949102,-0.5535414091783477,0,0,1,0,-5.082480430603027,0.0530242919921875,-5.082480430603027,0.9121552109718323,20,559,426102,2,0.6,pattern_best,warm,0.0,,,,,,,5.998405456542969,0,4,1,16
-6.640129089355469,83.27287292480469,0.208953857421875,26.986587524414062,22.636436462402344,0.9999999999999002,6.402214009555712,0,6.640129089355469,1.9865875244140625,2.6364364624023438,0.0756683349609375,-3.5977859497070312,1.0,0,18.724305771905886,4.9570707757752865,0.0,-0.5658386795330677,-6.195281982421875,83.22598266601562,0.24454498291015625,27.445159912109375,22.566524505615234,1.0000000000002647,6.290710570951329,0,6.195281982421875,2.445159912109375,2.5665245056152344,0.028778076171875,-3.709289312362671,1.0,0,18.724305771905886,4.9570707757752865,0.0,-0.5723936276622229,-6.008354187011719,83.24054718017578,0.18994903564453125,27.031158447265625,21.595966339111328,1.0000000000002647,4.956286463001457,0,6.008354187011719,2.031158447265625,1.5959663391113281,0.04334259033203125,-5.043713569641113,1.0066920518875122,0,18.815642074849624,5.060334859427535,-0.0066920254510828975,-0.5756028163789182,-7.111763000488281,83.2663803100586,0.18264007568359375,26.50885009765625,22.61248016357422,0.9999999999999002,5.460355556412765,0,7.111763000488281,1.50885009765625,2.6124801635742188,0.06917572021484375,-4.539644241333008,1.0,0,18.724305771905886,4.9570707757752865,0.0,-0.5686133026406911,-7.105201721191406,83.27555847167969,0.16754913330078125,26.424392700195312,22.411407470703125,0.9999999999999002,5.746543208611677,0,7.105201721191406,1.4243927001953125,2.411407470703125,0.0783538818359375,-4.2534565925598145,0.9121538996696472,0,19.087846118544014,4.810940448709342,-0.009161283244797523,-0.5649093498572306,0,0,1,0,-5.043713569641113,0.028778076171875,-5.043713569641113,0.9121538996696472,21,553,426102,2,0.6,active_rl_best,warm,0.0,,,,,,,6.008354187011719,0,5,1,16
-6.4684600830078125,83.24700927734375,0.20642852783203125,27.99407958984375,22.125255584716797,0.9999999999999002,5.500089840897148,0,6.4684600830078125,2.99407958984375,2.125255584716797,0.0498046875,-4.499910354614258,-2.6983156204223633,0,22.698315728305637,4.964733525214968,0.0,-0.5682019202405533,-6.0399932861328125,83.21049499511719,0.2322845458984375,28.585819244384766,22.145618438720703,1.0000000000002647,5.815931455518051,0,6.0399932861328125,3.5858192443847656,2.145618438720703,0.0132904052734375,-4.18406867980957,-2.6983156204223633,0,22.698315728305637,4.964733525214968,0.0,-0.5745513997380948,-5.856056213378906,83.22494506835938,0.1775970458984375,28.135391235351562,21.32776641845703,1.0000000000002647,4.8381468482569785,0,5.856056213378906,3.1353912353515625,1.3277664184570312,0.027740478515625,-5.161853313446045,-2.8763861656188965,0,22.876386057851676,5.069556708868546,-0.006840840560566273,-0.5779509756566519,-6.933807373046875,83.24176025390625,0.17838287353515625,27.392234802246094,22.09917449951172,0.9999999999999002,5.209862990296905,0,6.933807373046875,2.3922348022460938,2.0991744995117188,0.0445556640625,-4.790136814117432,-2.6983156204223633,0,22.698315728305637,4.964733525214968,0.0,-0.5711063035747703,-6.924415588378906,83.24940490722656,0.166595458984375,27.307666778564453,21.903976440429688,0.9999999999999002,5.106018088241821,0,6.924415588378906,2.307666778564453,1.9039764404296875,0.0522003173828125,-4.89398193359375,-2.253220319747925,0,22.253220208190022,4.820035867061895,-0.008076728932411086,-0.5674751972855862,0,0,1,0,-5.161853313446045,0.0132904052734375,-5.161853313446045,-2.8763861656188965,22,554,426102,2,0.6,max_min_best,warm,0.0,,,,,,,5.856056213378906,0,6,1,16
-5.33270263671875,80.8462905883789,6.866455078125e-05,29.899211883544922,22.94788360595703,8.537736462515939e-07,9.663957219644665,0,5.33270263671875,4.899211883544922,2.9478836059570312,-2.3509140014648438,-0.3360427916049957,-1.5238345861434937,0,21.52383463204142,8.205542832331915,0.0,-2.2293505012132453,-5.491935729980469,80.82633972167969,4.57763671875e-05,30.004318237304688,22.951950073242188,8.537736462515939e-07,8.71094569290776,0,5.491935729980469,5.0043182373046875,2.9519500732421875,-2.3708648681640625,-1.289054274559021,-1.5238345861434937,0,21.52383463204142,8.205542832331915,0.0,-2.217329073409095,-5.628242492675781,80.83853912353516,0.00754547119140625,28.837238311767578,23.20258331298828,8.537736462515939e-07,9.022104463139511,0,5.628242492675781,3.837238311767578,3.2025833129882812,-2.3586654663085938,-0.9778955578804016,-1.3223007917404175,0,21.32230077071722,8.14552764182281,-0.019232870954560912,-2.2208751328975733,-5.1627197265625,80.8108901977539,0.0191497802734375,29.63719940185547,22.941635131835938,1.0000000000002647,8.10587941986993,0,5.1627197265625,4.637199401855469,2.9416351318359375,-2.3863143920898438,-1.8941205739974976,-1.5238345861434937,0,21.52383463204142,8.205542832331915,0.0,-2.244447626053497,-5.21502685546875,80.82414245605469,0.0294342041015625,29.755661010742188,22.81325912475586,1.0000000000002647,8.449422420391786,0,5.21502685546875,4.7556610107421875,2.8132591247558594,-2.3730621337890625,-1.5505775213241577,-1.0740506649017334,0,21.074050653781356,8.083870633921705,-0.021323727745440092,-2.2153829353789787,0,0,0,0,-2.3863143920898438,-2.3863143920898438,-1.8941205739974976,-1.5238345861434937,23,569,426102,2,0.6,pareto_knee,10.0,1.0,5.405425319288853e-06,1.031475977405829,12095212.165228615,8.10587941986993,8.10587941986993,1.0,5.1627197265625,0,7,1,16
-7.956108093261719,83.89984893798828,0.2016754150390625,28.55902099609375,21.649429321289062,8.537736462515939e-07,7.280472879808722,0,7.956108093261719,3.55902099609375,1.6494293212890625,0.7026443481445312,-2.719527006149292,0.9008350372314453,0,19.09916493769781,4.4946199591085865,0.0,-0.3541168438335842,-7.385429382324219,83.84355163574219,0.2736968994140625,29.12301254272461,21.65735626220703,1.0000000000002647,7.489482293958723,0,7.385429382324219,4.123012542724609,1.6573562622070312,0.5,-2.5105175971984863,0.9008350372314453,0,19.09916493769781,4.4946199591085865,0.0,-0.36436522653302683,-7.133491516113281,83.85658264160156,0.2504730224609375,28.504852294921875,21.113182067871094,1.0000000000002647,6.782603778851188,0,7.133491516113281,3.504852294921875,1.1131820678710938,0.5,-3.2173962593078613,0.42754098773002625,0,19.572459000369474,4.590392837021736,-0.008805034270092361,-0.3693460418954593,-8.556571960449219,83.89212799072266,0.18047332763671875,28.024658203125,21.65680694580078,0.9999999999999002,6.152061563264338,0,8.556571960449219,3.024658203125,1.6568069458007812,0.5,-3.8479385375976562,0.9008350372314453,0,19.09916493769781,4.4946199591085865,0.0,-0.3533840713868999,-8.538124084472656,83.87905883789062,0.21015167236328125,28.309967041015625,21.609573364257812,0.9999999999999002,5.878187525634554,0,8.538124084472656,3.309967041015625,1.6095733642578125,0.5,-4.121812343597412,1.0036847591400146,0,18.99631523076149,4.409721036129344,-0.0041111060016362794,-0.3529876654690562,0,0,1,0,-4.121812343597412,0.5,-4.121812343597412,0.42754098773002625,24,591,426102,2,0.7,pattern_best,warm,0.0,,,,,,,7.133491516113281,0,8,1,16
-7.9859771728515625,83.88459777832031,0.1922607421875,29.269851684570312,21.87555694580078,8.537736462515939e-07,4.0293272838935295,0,7.9859771728515625,4.2698516845703125,1.8755569458007812,0.6873931884765625,-5.970672607421875,0.9044779539108276,0,19.0955220742601,4.5265365961161805,0.0,-0.3665076703552691,-7.4202880859375,83.82977294921875,0.26294708251953125,29.901866912841797,21.870361328125,8.537736462515939e-07,3.640133013550331,0,7.4202880859375,4.901866912841797,1.870361328125,0.632568359375,-6.359867095947266,0.9044779539108276,0,19.0955220742601,4.5265365961161805,0.0,-0.37656262511094185,-7.157012939453125,83.83631896972656,0.24648284912109375,29.257518768310547,21.277114868164062,1.0000000000002647,3.8992450098303486,0,7.157012939453125,4.257518768310547,1.2771148681640625,0.5,-6.100755214691162,0.42754068970680237,0,19.572459311969535,4.616896253881187,-0.0069771428477526515,-0.38126597247327665,-8.579574584960938,83.87466430664062,0.17032623291015625,28.68484878540039,21.896095275878906,0.9999999999999002,3.9569883535488732,0,8.579574584960938,3.6848487854003906,1.8960952758789062,0.5,-6.043011665344238,0.9044779539108276,0,19.0955220742601,4.5265365961161805,0.0,-0.36592923110725595,-8.551887512207031,83.85921478271484,0.20438385009765625,29.07550811767578,21.85626220703125,0.9999999999999002,3.6959096056748315,0,8.551887512207031,4.075508117675781,1.85626220703125,0.5,-6.30409049987793,1.0032976865768433,0,18.996314908794105,4.438252189532321,-0.003297733764597865,-0.36571698261840635,0,0,1,0,-6.359867095947266,0.5,-6.359867095947266,0.42754068970680237,25,585,426102,2,0.7,active_rl_best,warm,0.0,,,,,,,7.157012939453125,0,9,1,16
