sample_index,k,strict_pass,reserve11_pass,best_ratio,result_source,best_worst_margin_db,v20_best_worst_margin_db,v201_improvement_db,limiting_state,limiting_metric,limiting_margin_db,robust_pattern_margin_db,robust_active_rl_margin_db,robust_hardware_margin_db,generated_index,selection_role,alpha
426100,2,1,0,0.7,v20,0.7301874160766602,0.7301874160766602,0.0,frequency_high_E2_source,active_rl,0.7301874160766602,1.34765625,0.7301874160766602,0.9884424805641174,348,,1.0
426102,2,0,0,0.699999988079071,v20,-0.8889638781547546,-0.8889638781547546,0.0,frequency_low_E2_source,active_rl,-0.8889638781547546,0.4503631591796875,-0.8889638781547546,1.0,,,
426104,2,1,0,0.7,v20,0.7963333129882812,0.7963333129882812,0.0,frequency_high_E2_source,mainlobe,0.7963333129882812,0.7963333129882812,0.8317567110061646,1.0,207,,1.0
426105,2,0,0,0.800000011920929,v20,-0.4540803134441376,-0.4540803134441376,0.0,frequency_high_identity,active_rl,-0.4540803134441376,0.47541046142578125,-0.4540803134441376,0.9950563907623291,,,
426106,2,1,0,0.7,v20,0.691808819770813,0.691808819770813,0.0,frequency_high_identity,active_rl,0.691808819770813,1.290953516960144,0.691808819770813,0.9909053444862366,90,,1.0
426107,2,1,0,0.8,dense_alpha,0.07798004150390625,-0.07523345947265625,0.1532135009765625,frequency_low_E2_source,mainlobe,0.07798004150390625,0.07798004150390625,0.07845853269100189,1.0,509,,0.8119999999999999
426109,2,0,0,0.6000000238418579,v20,-0.306747704744339,-0.306747704744339,0.0,frequency_high_identity,active_rl,-0.306747704744339,0.08544921875,-0.306747704744339,1.0,,,
426110,4,0,0,0.699999988079071,v20,-0.17215299606323242,-0.17215299606323242,0.0,frequency_high_identity,active_rl,-0.17215299606323242,0.45948028564453125,-0.17215299606323242,0.9872948527336121,,,
426111,4,1,0,0.7,v20,0.29438018798828125,0.29438018798828125,0.0,frequency_high_E2_source,mainlobe,0.29438018798828125,0.29438018798828125,0.6075097918510437,0.9969862699508667,975,,1.0
426113,4,0,0,0.800000011920929,v20,-0.8991820812225342,-0.8991820812225342,0.0,frequency_high_E2_source,active_rl,-0.8991820812225342,-0.05052947998046875,-0.8991820812225342,1.0,,,
426115,4,1,0,0.8,v20,0.5,0.5,0.0,frequency_high_E2_source,mainlobe,0.5,0.5,0.6887575387954712,0.9918315410614014,1151,,1.0
426116,4,0,0,0.8,v20,-0.5,-0.5,0.0,frequency_high_E2_source,mainlobe,-0.5,-0.5,0.0852397233247757,-0.37087133526802063,1263,,1.0
426117,4,0,0,0.8,v20,-0.4577484130859375,-0.4577484130859375,0.0,frequency_high_identity,mainlobe,-0.4577484130859375,-0.4577484130859375,0.5009855628013611,1.0,1647,,1.0
