profile,frequency_ghz,patch_length_y_mm,relative_permittivity,complex_field_nmse,magnitude_rmse_db,magnitude_max_abs_db,s_raw_delta_max_abs,s_raw_delta_relative_fro,solve_converged,final_delta_s,port_topology_warning_count,s_reciprocity_max_abs,s_passivity_sigma_max,matched_passive_rl_min_db,structural_gate_pass
nominal,10.0,9.35,2.2,0.0,0.0,0.0,0.0,0.0,True,0.0354647,0,1.1581146965363246e-16,0.9134555909634766,14.769849548728981,True
frequency_low,9.8,9.35,2.2,0.05899910628795624,0.6046450138092041,2.6948623657226562,0.33543753766965,0.6978387662202474,True,0.0151651,0,1.0551910960100405e-16,0.943643697968675,6.776982938488882,True
frequency_high,10.2,9.35,2.2,0.07380702346563339,0.3644906282424927,2.38238525390625,0.3926550918712414,0.8100225723431616,True,0.0131644,0,1.0551910960100406e-16,0.8848113484514426,9.353399522156762,True
patch_length_low,10.0,9.25,2.2,0.011585131287574768,0.23681913316249847,1.7988319396972656,0.16779892737101382,0.3295470670390597,True,0.0239253,0,3.065200913594196e-15,0.9208267207136799,10.095691213973051,True
patch_length_high,10.0,9.45,2.2,0.015142521820962429,0.19299344718456268,1.7359771728515625,0.19575573898068646,0.3946822166127666,True,0.0202491,0,1.0687924018557952e-16,0.9077280721610169,14.737943169073588,True
dielectric_low,10.0,9.35,2.16,0.008578605949878693,0.18713775277137756,1.7102737426757812,0.1342382745580493,0.2846974858220271,True,0.023839,0,9.931106305546747e-16,0.9218638748848563,10.628176299803311,True
dielectric_high,10.0,9.35,2.24,0.013537207618355751,0.18100032210350037,1.3433074951171875,0.18210004007227582,0.36847767081547583,True,0.0157558,0,1.113606002252634e-16,0.9044706770047579,14.725145354301041,True
