case_id,board_x_mm,board_y_mm,substrate_thickness_mm,relative_permittivity,loss_tangent,copper_thickness_mm,primary_inner_gap_mm,primary_arm_width_mm,secondary_arm_width_mm,secondary_neck_length_x_mm,port_sheet_margin_mm,local_mesh_max_length_mm,adaptive_refinement_percent,maximum_passes,candidate_id,primary_arm_length_mm,secondary_arm_length_mm,secondary_arm_offset_y_mm,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,frequency_ghz,s11_real,s11_imag,s11_magnitude,s11_phase_deg,input_resistance_ohm,input_reactance_ohm,passive_rl_db,topology_warning_count,numerical_gate_pass,impedance_transform_reachable,screen_gate_pass
direct_d1_both_short,15.0,15.0,0.787,2.2,0.0009,0.035,0.6,0.8,0.55,0.9,0.05,0.18,8.0,16,direct_d1_both_short,5.2,4.5,1.0,2,0.00207929,True,28,1.7969894409179688,44384,10.0,-0.06682130367321605,-0.0057638112582901945,0.067069427795452,-175.07003536115104,43.733674728032895,-0.5064233417706834,23.469507976761676,0,True,True,True
direct_d0_center,15.0,15.0,0.787,2.2,0.0009,0.035,0.6,0.8,0.55,0.9,0.05,0.18,8.0,16,direct_d0_center,6.0,5.2,1.2,2,0.00243288,True,32,2.114147186279297,50745,10.0,0.24747335689257435,0.2122953245637459,0.326055773148254,40.62468366741551,73.08945373362648,34.724771235806045,9.734162115280832,0,True,True,False
direct_d5_primary_mid_secondary_long,15.0,15.0,0.787,2.2,0.0009,0.035,0.6,0.8,0.55,0.9,0.05,0.18,8.0,16,direct_d5_primary_mid_secondary_long,5.8,5.8,1.0,2,0.00218303,True,32,2.111530303955078,51520,10.0,0.2455915892997607,0.22355564611661274,0.332102929293613,42.3107818137767,71.85385690775122,36.1092444443037,9.574545874335131,0,True,True,False
direct_d3_split_close,15.0,15.0,0.787,2.2,0.0009,0.035,0.6,0.8,0.55,0.9,0.05,0.18,8.0,16,direct_d3_split_close,5.5,6.0,0.8,2,0.00190843,True,30,1.8994560241699219,48333,10.0,0.2584118225796968,0.2261765838968726,0.343413041616389,41.1942422537353,73.37002695730526,37.62655892052311,9.283664317777877,0,True,True,False
direct_d4_split_far,15.0,15.0,0.787,2.2,0.0009,0.035,0.6,0.8,0.55,0.9,0.05,0.18,8.0,16,direct_d4_split_far,6.5,4.7,1.8,2,0.00390449,True,34,2.2141571044921875,54282,10.0,0.42674382245897347,0.1436484391927919,0.450272322144523,18.604013108624002,114.13567241184468,41.1296625863809,6.930494958557778,0,True,True,False
direct_d2_both_long,15.0,15.0,0.787,2.2,0.0009,0.035,0.6,0.8,0.55,0.9,0.05,0.18,8.0,16,direct_d2_both_long,6.8,5.9,1.4,5,0.0250603,True,84,3.346179962158203,72273,10.0,0.49146649551672916,-0.36956505121879324,0.614912711933852,-36.941843767545095,78.68250362695062,-93.5170556602353,4.223730576067137,0,True,True,False
