k_value,ratio,count,gate15_rate,strict_engineering_rate,mean_psll_db,mean_nearest_iso_db,mean_local_iso_db,mean_worst_active_rl_db
2,0.5,9,0.8888888888888888,0.3333333333333333,-8.180760701497396,27.045629289415146,22.41629960801866,6.412695699948064
2,0.6,9,0.7777777777777778,0.4444444444444444,-10.002204895019531,27.51260503133138,23.103528764512802,8.410853263562348
2,0.7,5,0.8,0.2,-10.822267150878906,29.020627593994142,22.637148284912108,8.578673819725637
2,0.8,5,1.0,0.2,-11.0890869140625,30.51393051147461,23.743675231933594,9.942233389396929
4,0.5,6,0.5,0.3333333333333333,-4.930684407552083,24.934722264607746,21.68967564900716,5.636547622937493
4,0.6,7,0.8571428571428571,0.2857142857142857,-6.639665876116071,25.953183310372488,21.829256875174387,8.074608932330662
4,0.7,9,0.3333333333333333,0.2222222222222222,-6.154908921983507,24.12674543592665,20.940133412679035,6.654775386140034
4,0.8,6,0.5,0.16666666666666666,-6.590816497802734,25.020296096801758,22.009124755859375,9.36432127133323
6,0.5,8,0.25,0.0,-2.563924789428711,24.67611837387085,21.190674781799316,2.9933271047081553
6,0.6,8,0.5,0.125,-3.6191587448120117,25.420512676239014,21.24068546295166,5.229488991176476
6,0.7,5,0.6,0.0,-3.8156509399414062,26.106311798095703,21.85221939086914,8.6566266443352
6,0.8,7,0.8571428571428571,0.14285714285714285,-3.624894278390067,25.687845502580917,21.567267281668528,8.391011118029807
