trial,active_rl_min_db,total_rl_min_db,passive_rl_min_db,integrated_vs_target_max_abs_delta_s,joint_gate_pass
0,12.50386728893539,13.08355635041194,14.786222048320523,0.03820157275224544,1
1,12.609828834625038,13.098969440110464,14.8849521274695,0.04106590916512255,1
2,12.55903885297434,13.072358841451226,14.753800995645761,0.0417441063067286,1
3,12.357300343402965,13.079805613869151,14.744578251760487,0.03883682048624117,1
4,12.506329230597299,13.067727349187845,14.77182949167624,0.03829678487003141,1
5,12.474853287625496,13.065008173523509,14.784261692845613,0.04135884386714902,1
6,12.517365098000802,13.026208525739351,14.722909377024502,0.0411584714702316,1
7,12.408475730809219,13.084191671790457,14.721289786049383,0.03965448135666446,1
8,12.430430408827869,13.04987630465148,14.742671523812339,0.040974072950180254,1
9,12.496609289829529,13.076463117266549,14.785556616515557,0.03799106028163527,1
10,12.46316024173316,13.111139205827014,14.824736837300136,0.04047061931681834,1
11,12.489844615012235,13.096928352478553,14.799418883796026,0.039922970400328286,1
12,12.531068530043575,13.054341134671649,14.867395039351823,0.03919509311473156,1
13,12.499017177380903,13.068030657998328,14.71376875558379,0.039393532662259,1
14,12.562001815406925,13.062461081879924,14.734855497917152,0.038831581569866734,1
15,12.52159594311374,13.069413925420816,14.827274916127703,0.040314035768042523,1
16,12.389527432057237,13.097446476129551,14.735854605305471,0.03990807493912441,1
17,12.568786488414956,13.061768356516533,14.76179742257121,0.03988223305604978,1
18,12.509839834677996,13.070659103359965,14.747323550834405,0.03872044198576766,1
19,12.461619510832868,13.046075504510684,14.81518794978326,0.04072878379876141,1
20,12.442062464269835,13.07424192705005,14.75265074039787,0.040232826228716156,1
21,12.470627455515103,13.045297194208011,14.760360182297052,0.03780278707321418,1
22,12.485587402731394,13.062630537714545,14.773058004402642,0.03773771353929285,1
23,12.567103948003709,13.029866068999823,14.757624295637275,0.040558368963807885,1
24,12.476199243778762,13.036216895519207,14.795334864154682,0.040440952966971776,1
25,12.32417385829276,13.053434637045775,14.712418638487026,0.039400641058848024,1
26,12.53659466471061,13.078943641914126,14.805809212181519,0.04030997552506808,1
27,12.572344370652832,13.035859554521569,14.761175603988772,0.038405534564831485,1
28,12.483726994515582,13.020959658968469,14.773254130067032,0.03827564482639856,1
29,12.57736270765951,13.094672987810137,14.817067373027967,0.03930996845294716,1
